Hold_id,User_id,Book_id,Library_id,Hold_date
1,123,19,5,2024-06-10
2,48,73,20,2024-03-04
3,53,73,20,2024-05-23
4,98,19,5,2024-03-24
5,174,106,16,2024-03-30
6,100,73,20,2024-06-04
7,6,106,16,2024-05-10
8,183,19,5,2024-06-30
9,111,84,16,2024-03-09
10,121,170,16,2024-05-30
11,200,84,16,2024-02-02
12,65,106,16,2024-04-26
13,114,84,16,2024-01-08
14,76,170,16,2024-03-24
15,50,73,20,2024-06-17
16,139,170,16,2024-03-01
17,28,84,16,2024-01-01
18,118,106,16,2024-04-01
19,85,63,2,2024-04-08
20,134,63,2,2024-04-14
21,111,84,16,2024-05-17
22,136,84,16,2024-04-08
23,42,19,5,2024-06-05
24,161,106,16,2024-04-23
25,37,63,2,2024-05-26
26,149,106,16,2024-01-01
27,74,73,20,2024-03-13
28,57,19,5,2024-05-30
29,117,84,16,2024-04-26
30,49,73,20,2024-05-21
31,129,19,5,2024-06-24
32,192,63,2,2024-05-26
33,158,84,16,2024-05-16
34,61,106,16,2024-05-07
35,139,170,16,2024-05-13
36,12,106,16,2024-02-25
37,182,84,16,2024-04-15
38,158,170,16,2024-05-26
39,38,84,16,2024-01-13
40,90,19,5,2024-05-30
41,29,84,16,2024-06-25
42,148,106,16,2024-03-24
43,129,63,2,2024-06-14
44,95,170,16,2024-07-01
45,85,19,5,2024-03-11
46,145,84,16,2024-04-30
47,22,170,16,2024-01-02
48,111,106,16,2024-04-10
49,172,84,16,2024-04-09
50,192,19,5,2024-06-19
